OID_;Description;plot_id;PERIOD;radius;Radie_utsok;datum;east;north;Huggningsklass;Agoslag;Agoslag_utsok;Biomass_above;Biomass_below;Basal_area;Basal_Area_Pine;Basal_Area_Spruce;Basal_Area_Contorta;Volume;Volume_Pine;Volume_Spruce;Volume_Contorta;Dgv;Hgv;Mean_Age_basal_area_weighted;Ruta;Block;Skanndatum;leaveson;scanner_type;Region;N;E;id;antalTillvAr;species_type 
14900;2.02E+11;201920834150;0;7;7;2019-08-14 00:00;730951;7235499;21;1;1;0;0;0;0;0;0;0;0.95;0.15;0;0;0;7;72350_7300_25;19G026;2019-08-27 00:00;1;0;0;7235000;730000;19G026_72350_7300_25;0;97
14901;2.02E+11;202126581060;0;10;10;2021-09-11 00:00;746510;7232341;23;1;1;8.907790517;1.04786245;3.917483535;3.58;0.326;0;21.17558503;8.384;0.87;0;8.98;8.04;19.8;72300_7450_25;19G026;2019-08-27 00:00;1;0;0;7230000;745000;19G026_72300_7450_25;-2;87
14902;2.02E+11;202126582060;0;10;10;2021-09-11 00:00;747125;7231756;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;72300_7450_25;19G026;2019-08-27 00:00;1;0;0;7230000;745000;19G026_72300_7450_25;-2;63
14903;2.02E+11;202126582120;0;10;10;2021-09-11 00:00;747139;7231169;42;1;1;60.77895634;17.33153784;12.9137226;1.588;2.536;0;73.75928484;11.218;12.742;0;17.86;12.34;89.7;72300_7450_25;19G026;2019-08-27 00:00;1;0;0;7230000;745000;19G026_72300_7450_25;-2;82
14904;2.02E+11;202126583120;0;10;10;2021-09-11 00:00;745950;7231115;41;1;1;58.34674488;20.49432624;17.38580397;16.36;1.012;0;125.0374506;120.5;4.222;0;18.94;14.42;82.6;72300_7450_25;19G026;2019-08-27 00:00;1;0;0;7230000;745000;19G026_72300_7450_25;-2;100
14905;2.02E+11;201826591120;0;10;10;2018-09-12 00:00;749146;7242394;41;1;1;82.34808467;26.8015487;18.8195253;17.1;1.718;0;181.2534759;164.92;15.808;0;25.62;20.4;93.1;72400_7475_25;19G026;2019-08-27 00:00;1;0;0;7240000;747500;19G026_72400_7475_25;1;100
14906;2.02E+11;201826592060;0;10;10;2018-09-12 00:00;749185;7241796;11;1;1;0.07;0.02;0;0;0;0;0.098;0.088;0.01;0;0;0;0;72400_7475_25;19G026;2019-08-27 00:00;1;0;0;7240000;747500;19G026_72400_7475_25;1;72
14907;2.02E+11;201926581060;0;10;10;2019-07-11 00:00;756625;7227508;41;1;1;31.50154385;10.88022063;8.077958464;6.46;1.37;0;51.68650066;44.7;6.51;0;20.6;12.9;103.4;72275_7550_25;19G026;2019-08-27 00:00;1;0;0;7227500;755000;19G026_72275_7550_25;0;99
14908;2.02E+11;201926582060;0;10;10;2019-07-11 00:00;757205;7226865;21;1;1;0.553389271;0.130375698;0.125063401;0;0;0;0.595232966;0.31;0.27;0;1;1.8;0;72250_7550_25;19G026;2019-08-27 00:00;1;0;0;7225000;755000;19G026_72250_7550_25;0;85
14909;2.02E+11;201926582120;0;10;10;2019-07-11 00:00;757184;7226286;41;1;1;67.58200797;22.79088997;17.21979835;10.73;2.86;0;108.5715875;71.3;17.31;0;19.4;13;78;72250_7550_25;19G026;2019-08-27 00:00;1;0;0;7225000;755000;19G026_72250_7550_25;0;95
14910;2.02E+11;201926583120;0;10;10;2019-07-11 00:00;756016;7226326;41;1;1;99.45289913;34.45134968;28.62733241;21.32;7.19;0;201.1676227;167.71;31.68;0;19.3;14.1;89.1;72250_7550_25;19G026;2019-08-27 00:00;1;0;0;7225000;755000;19G026_72250_7550_25;0;96
14911;2.02E+11;201926584120;0;10;10;2019-07-11 00:00;756022;7227504;31;1;1;23.21466592;10.55760104;10.30189099;2.75;0.79;0;33.41731133;11.04;5.04;0;5.8;5.9;26.7;72275_7550_25;19G026;2019-08-27 00:00;1;0;0;7227500;755000;19G026_72275_7550_25;0;68
14912;2.02E+11;201926591060;0;10;10;2019-08-24 00:00;768707;7232627;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;72325_7675_25;19G026;2019-08-27 00:00;1;0;0;7232500;767500;19G026_72325_7675_25;0;63
14913;2.02E+11;201926592060;0;10;10;2019-08-24 00:00;769312;7232039;22;1;1;5.735910339;2.195703148;1.815358971;1.25;0.29;0;5.698753796;4.11;0.99;0;6.9;5.3;15.5;72300_7675_25;19G026;2019-08-27 00:00;1;0;0;7230000;767500;19G026_72300_7675_25;0;72
14914;2.02E+11;201926593120;0;10;10;2019-08-24 00:00;768127;7231439;22;1;1;10.58520077;6.577100316;3.596693417;0.16;0.8;0;10.80467042;0.44;2.32;0;2.4;3.2;18.8;72300_7675_25;19G026;2019-08-27 00:00;1;0;0;7230000;767500;19G026_72300_7675_25;0;82
14915;2.02E+11;201720281150;0;7;7;2017-07-27 00:00;783526;7229861;22;1;1;8.342959979;2.438338717;3.359446735;4.218;0.068;0;11.16402894;11.856;0.19;0;3.14;2.66;26.2;72275_7825_25;18H001;2018-07-11 00:00;1;0;0;7227500;782500;18H001_72275_7825_25;1;88
14916;2.02E+11;201720282050;0;7;7;2017-07-27 00:00;783526;7229361;21;1;1;3.607108787;1.233947808;0.832269926;0;0.01;0;5.172981581;0.478;0.302;0;11.74;10.4;0;72275_7825_25;18H001;2018-07-11 00:00;1;0;0;7227500;782500;18H001_72275_7825_25;1;88
14917;2.02E+11;201720282100;0;7;7;2017-07-27 00:00;783526;7228861;42;1;1;83.90183321;28.55009718;16.69703243;4.668;11.82;0;166.7100224;48.03;116.512;0;28.98;21.5;158.5;72275_7825_25;18H001;2018-07-11 00:00;1;0;0;7227500;782500;18H001_72275_7825_25;1;90
